date,open,high,low,close,vol,amount
2025-07-04,3967.46,4013.85,3958.38,3982.2,1571971.0,290512994304.0
2025-07-07,3977.29,3979.75,3956.57,3965.17,1311352.0,225106984960.0
2025-07-08,3965.43,4002.27,3965.43,3998.45,1564029.0,292089823232.0
2025-07-09,3997.5,4016.74,3987.43,3991.4,1732937.0,305398808576.0
2025-07-10,3993.42,4032.98,3992.52,4010.02,2097789.0,347836710912.0
2025-07-11,4011.47,4065.94,4010.11,4014.81,2620527.0,443780792320.0
2025-07-14,4021.21,4034.92,4017.67,4017.67,2079171.0,321415938048.0
2025-07-15,4023.99,4042.66,3994.26,4019.06,1910429.0,353524580352.0
2025-07-16,4019.39,4027.86,3993.92,4007.2,1510273.0,300656787456.0
2025-07-17,4005.07,4034.59,4005.07,4034.49,1612490.0,325516853248.0
2025-07-18,4039.87,4064.64,4039.32,4058.55,1862110.0,354244460544.0
2025-07-21,4069.77,4086.12,4063.44,4085.61,2232684.0,377938575360.0
2025-07-22,4087.34,4119.2,4068.34,4118.96,2575970.0,450874015744.0
2025-07-23,4129.15,4155.68,4113.91,4119.77,3005061.0,470330900480.0
2025-07-24,4116.83,4152.43,4111.88,4149.04,3196323.0,487000047616.0
2025-07-25,4145.32,4150.5,4117.8,4127.16,2735949.0,430445527040.0
2025-07-28,4128.2,4146.12,4112.97,4135.82,2227598.0,406792863744.0
2025-07-29,4132.68,4153.33,4117.58,4152.02,2308078.0,428764299264.0
2025-07-30,4148.94,4185.21,4127.43,4151.24,2498530.0,445168451584.0
2025-07-31,4141.56,4141.82,4063.67,4075.59,2670874.0,492142559232.0
2025-08-01,4069.93,4085.35,4040.46,4054.93,1962218.0,359685160960.0
2025-08-04,4037.94,4070.7,4037.94,4070.7,1622759.0,295976828928.0
2025-08-05,4080.39,4106.3,4075.58,4103.45,1788520.0,306934251520.0
2025-08-06,4100.43,4116.71,4098.35,4113.49,1766761.0,307674611712.0
2025-08-07,4120.28,4129.74,4094.82,4114.67,1986419.0,358108364800.0
2025-08-08,4109.27,4122.21,4097.42,4104.97,1731712.0,308507672576.0
2025-08-11,4110.29,4134.25,4103.61,4122.51,1904437.0,360685830144.0
2025-08-12,4123.58,4153.29,4121.22,4143.83,1772878.0,383088427008.0
2025-08-13,4150.5,4186.75,4147.2,4176.58,2139350.0,462776729600.0
2025-08-14,4179.97,4220.31,4165.94,4173.31,2211036.0,485075648512.0
2025-08-15,4162.42,4214.73,4157.5,4202.35,2613275.0,518686867456.0
2025-08-18,4218.25,4272.96,4203.42,4239.41,3014791.0,635365883904.0
2025-08-19,4241.77,4264.23,4215.21,4223.37,2508187.0,553536192512.0
2025-08-20,4208.4,4272.15,4190.56,4271.4,2464817.0,538815299584.0
2025-08-21,4284.37,4308.45,4273.65,4288.07,2590300.0,558521253888.0
2025-08-22,4287.36,4378.39,4287.36,4378.0,2904349.0,675935092736.0
2025-08-25,4416.29,4472.65,4404.78,4469.22,3580900.0,823681941504.0
2025-08-26,4453.35,4476.8,4435.53,4452.59,2706214.0,627950419968.0
2025-08-27,4458.84,4494.91,4386.13,4386.13,3331339.0,785098473472.0
2025-08-28,4378.04,4464.8,4364.17,4463.78,2968345.0,739423617024.0
2025-08-29,4455.8,4516.84,4452.36,4496.76,3519389.0,831194071040.0
2025-09-01,4516.88,4528.13,4487.53,4523.71,3203667.0,770378301440.0
2025-09-02,4521.98,4548.89,4454.42,4490.45,3039325.0,777999286272.0
2025-09-03,4501.34,4510.73,4427.52,4459.83,2543202.0,655697117184.0
